name,price_regular,price_discount,rating,platforms,howlongtobeat,distribution_type,site,url,image_url
Wallpaper Engine,4.99,4.99,80,PC,35.7,Digital,steam,https://store.steampowered.com/app/431960/Wallpaper_Engine/,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/431960/capsule_616x353.jpg?t=1739211362
Lumines Arise,39.99,35.99,91,PC,20.7,Digital,steam,https://store.steampowered.com/app/2370000/Lumines_Arise/,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2370000/807781e8a4b317ca5f6d9c5654676291f4a60e9f/capsule_616x353.jpg?t=1763053324
Town to City,35.98,35.98,98,PC,23.0,Digital,steam,https://store.steampowered.com/app/3115220/Town_to_City/,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3115220/92d73a554c04b4ebb33c4a276d1c8acde4d89545/capsule_616x353.jpg?t=1761296399
Worms Forts: Under Siege,5.99,1.19,97,PC,39.8,Digital,gog,https://www.gog.com/en/game/worms_forts_under_siege,https://images.gog-statics.com/f157398c6c8248ad5d17aca2a78b3eb718aa253e5b435b825cf47a554ffc9576.jpg
Lands of Lore™ 1+2,5.99,1.49,90,PC,39.4,Digital,gog,https://www.gog.com/en/game/lands_of_lore_1_2,https://images.gog-statics.com/940d6fd36425f6c11bc96028905f67d9dc341eb185e81f7198c0da440a41fc46.jpg
Medal of Honor™: Pacific Assault,9.99,2.49,82,PC,22.7,Digital,gog,https://www.gog.com/en/game/medal_of_honor_pacific_assault,https://images.gog-statics.com/8e13aeef741dfe3f75f57fac388221c9b5b946ca37adcf48e523626e9ecfb43b.jpg
POSTAL 2,9.99,0.99,89,PC,25.2,Digital,gog,https://www.gog.com/en/game/postal_2,https://images.gog-statics.com/d852a13d79875678614aee8b5f534cd391eafcc51d443053d42b8210f1cb1d2a.jpg
Fallout,9.99,4.99,98,PC,41.2,Digital,gog,https://www.gog.com/en/game/fallout,https://images.gog-statics.com/6fc6210c7392910ddf30d026b5216e67a7dcdb53e07dd9670d028aa4da1244d3.jpg
Saints Row 2,9.99,1.49,99,PC,40.1,Digital,gog,https://www.gog.com/en/game/saints_row_2,https://images.gog-statics.com/e5054aacbe4d66cc91783dfe5d2eb996e49d08523f8ed6f2cb07bd9cc747aed2.jpg
Tainted Grail: The Fall of Avalon,44.99,35.99,88,PC,32.3,Digital,gog,https://www.gog.com/en/game/tainted_grail_the_fall_of_avalon,https://images.gog-statics.com/e980ac6231f889bed24be1f0563a9b06d2ad9e70345d741b4458fb0210158cde.jpg
Diablo + Hellfire,9.99,9.99,80,PC,25.9,Digital,gog,https://www.gog.com/en/game/diablo,https://images.gog-statics.com/2a351ec2315d2b082c120a1499434480758e56603d2cf21a93e544300c0f3829.jpg
Bloodshed,12.99,4.41,90,PC,36.8,Digital,gog,https://www.gog.com/en/game/bloodshed,https://images.gog-statics.com/446da885c09351f2415a401e50a47770ae3928b2b8162009a07f05d214635938.jpg
SimCity™ 2000 Special Edition,5.99,2.99,86,PC,27.5,Digital,gog,https://www.gog.com/en/game/simcity_2000_special_edition,https://images.gog-statics.com/6158456175ba7ca5a0a4951841e98282b3bcc5c1b48209c2215810fb40708204.jpg
Lords of the Fallen Game of the Year Edition 2014,29.99,1.49,81,PC,24.2,Digital,gog,https://www.gog.com/en/game/lords_of_the_fallen_game_of_the_year_edition,https://images.gog-statics.com/2ea0c4180a881c4349c7b53377483760b18131f8672366e12701cd3c48edf5e6.jpg
Fallout 2,9.99,4.99,85,PC,30.0,Digital,gog,https://www.gog.com/en/game/fallout_2,https://images.gog-statics.com/35d3d17c64d03d60395fe5e891a72e8d430e24190a8a187ac8aab31efe56b9ea.jpg
Return to Castle Wolfenstein,4.99,1.99,99,PC,32.3,Digital,gog,https://www.gog.com/en/game/return_to_castle_wolfenstein,https://images.gog-statics.com/9f488ee21ce09b232da64769a396493fa4561a4b524ac1fa53db48f79b865725.jpg
DOOM + DOOM II,9.99,3.99,99,PC,19.1,Digital,gog,https://www.gog.com/en/game/doom_doom_ii,https://images.gog-statics.com/1d1474d31f50b8412796a88a0f0c8f0bc822811e42fa82e0fc0c79adfcb8d15a.jpg
Fallout 4: Game of the Year Edition,39.99,15.99,88,PC,37.6,Digital,gog,https://www.gog.com/en/game/fallout_4_game_of_the_year_edition,https://images.gog-statics.com/8b074a51347f0377d0a60ac241e8c5535d829540fe9c2e7ddf9277e4cc6d53d1.jpg
ATOM RPG: Post-apocalyptic indie game,14.99,2.99,92,PC,41.4,Digital,gog,https://www.gog.com/en/game/atom_rpg_postapocalyptic_indie_game,https://images.gog-statics.com/8ace748c976e8cb92b3b854480d560b413ca6cad76f8ee0d0bdc5cac7b77d0fb.jpg
The Witcher 3: Wild Hunt - Complete Edition,49.99,49.99,99,PC,74.2,Digital,gog,https://www.gog.com/en/game/the_witcher_3_wild_hunt_game_of_the_year_edition,https://images.gog-statics.com/71d71c40052877a42c096b8230c71856a560d42132208cfa8e719243b5c6626b.jpg
Fallout 3: Game of the Year Edition,19.99,6.59,80,PC,43.1,Digital,gog,https://www.gog.com/en/game/fallout_3_game_of_the_year_edition,https://images.gog-statics.com/ba4ee4cbc04910b91f58115d2dbb5a0fecb6819b7d8abe6176e6300e9200ca48.jpg
